[HEADER]
START_TIME: 267653639 usec
ELAPSED_TIME: 15009882 usec
RELAY_STATE: 1
ACCELERATION_DATA: PERIOD SAMPLE NUMBER INDEX
1600 HZ 19862 X,Y,Z
[END OF HEADER]

78,61,16560
122,-34,16554
-67,258,16475
0,213,16537
11,202,16436
223,-85,17106
-95,275,16492
-17,343,16673
5,320,16425
0,168,16611
-28,219,16751
83,236,16966
156,84,16943
251,-85,16898
50,67,16881
228,11,17016
139,-62,16999
156,-147,16904
267,-6,16920
267,-265,16887
228,39,16898
-151,320,16583
178,-107,16735
78,-29,16543
139,-6,16650
50,-45,16633
50,135,16498
-40,135,16414
0,146,16352
-62,191,16335
-95,326,16560
-84,213,16537
-112,247,16549
-45,236,16459
-84,247,16751
-79,157,16690
-67,90,16813
161,33,16633
211,106,16650
100,-12,16881
195,-23,16847
301,-96,16875
105,56,16678
55,56,16943
245,-209,16830
184,-79,16729
217,-102,16746
145,-74,16763
161,-45,16605
89,56,16464
-17,236,16577
111,39,16549
-173,264,16464
111,0,16791
-118,354,16464
-123,208,16622
-179,135,16605
-51,213,16616
11,225,16757
105,146,16870
-17,78,16746
27,78,17140
251,-34,17112
128,-113,16870
234,-74,16920
234,-68,16797
206,-34,16819
117,-74,16701
27,-124,16701
-207,213,16397
89,39,16628
22,95,16295
-40,225,16475
-106,208,16549
-28,236,16301
-79,225,16380
-79,230,16633
-51,337,16430
-56,309,16628
-40,135,16661
-179,118,16583
16,106,16864
83,101,16949
78,-57,16763
50,-90,17061
-62,90,16611
301,-57,16768
217,0,16830
184,-175,16819
178,0,16768
145,5,16583
-6,-12,16475
-56,106,16340
83,253,16543
-129,208,16475
-207,241,16368
-45,326,16487
-67,230,16616
5,213,16628
-34,129,16740
178,-135,16763
122,-51,17011
44,84,16960
167,-29,16915
195,-141,16909
156,33,16949
357,-180,16774
211,-130,16836
111,140,16566
150,-107,16628
189,-51,16588
66,22,16532
189,101,16599
61,11,16419
-67,101,16436
-79,225,16521
89,-6,16949
-90,348,16554
-129,180,16554
-17,309,16504
-190,292,16504
39,140,16628
-40,281,16757
5,90,16864
178,-29,16853
78,163,16768
150,-57,16813
66,0,16859
-168,264,16430
-274,202,16447
172,-180,16898
223,-34,16842
-79,315,16656
223,-29,16763
44,0,16870
83,-34,16515
195,106,16498
-51,213,16639
-45,146,16690
105,5,16836
39,123,16864
94,73,16656
-140,174,16453
-90,309,16560
-28,241,16757
-34,191,16678
-40,219,16887
66,-29,16543
5,-17,16554
66,78,16583
-140,343,16436
-28,-85,16526
211,33,16650
172,0,16718
-23,157,16459
-40,292,16549
-118,315,16504
78,174,16763
-28,281,16605
-168,112,16656
11,61,16943
133,28,17135
145,-29,16797
273,22,17112
128,61,17146
284,-68,16904
167,-45,16994
206,-135,16780
228,-107,16797
-23,213,16571
161,-90,16650
105,135,16650
72,16,16712
44,33,16549
33,-23,16397
-34,180,16419
-196,174,16380
27,382,16678
11,320,16380
-129,241,16459
-6,247,16459
-218,185,16611
-73,151,16611
-67,118,16819
27,163,16774
-6,191,16864
172,22,16650
239,-29,16988
156,95,16887
172,-79,16937
217,-12,16920
200,-96,16932
167,-102,16842
133,-62,16695
217,-34,16690
217,61,16785
94,-17,16644
178,-107,16622
61,-102,16763
55,241,16459
55,157,16532
94,56,16746
-28,241,16357
-51,371,16644
-95,241,16656
-173,219,16475
-6,230,16661
-151,230,16875
150,219,16729
156,90,16999
44,22,16763
178,67,17044
290,11,16988
195,16,16836
267,-40,16802
167,-197,16791
145,-12,16768
-185,208,16515
61,33,16718
33,-12,16560
-34,90,16701
-51,129,16543
-79,135,16278
-17,241,16571
-201,247,16487
-62,258,16566
-84,213,16526
-51,208,16797
78,247,16881
83,16,17022
206,50,16802
44,50,16712
-28,236,16425
55,-23,16436
-12,157,16813
357,-113,16825
145,-45,16797
211,-102,16757
290,-57,16605
150,-17,16611
22,101,16644
178,-175,16797
111,-12,16549
-51,208,16549
-23,185,16639
-101,208,16323
-112,292,16521
-118,264,16532
-23,298,16656
273,-113,16836
27,146,16706
111,230,16859
178,-96,16875
66,-51,16757
301,-34,16937
234,-74,16960
306,-180,16611
217,-107,16791
195,-119,16763
245,-96,16583
50,39,16554
100,-12,16357
-45,230,16261
22,225,16898
-173,123,16295
245,-12,16825
16,151,16673
-106,225,16611
50,208,16797
-17,123,16875
5,146,16785
223,135,16971
256,-74,16825
178,-119,16774
278,50,16943
245,-17,17078
211,-135,16785
267,-158,16740
189,-124,16875
111,0,16864
128,-62,16718
-151,157,16594
22,84,16605
0,123,16577
-95,168,16340
-73,286,16571
89,225,16751
-6,67,16864
189,-34,16932
262,-175,16802
5,157,16661
-51,140,16622
83,28,16605
-73,118,16459
-151,185,16442
27,56,16780
-40,123,16768
83,-6,16706
178,-113,16543
256,-12,16825
100,-74,16560
-79,196,16447
-79,151,16397
-51,337,16425
-112,303,16554
-34,168,16949
-67,196,16509
-34,146,16543
-12,140,16791
-62,208,16650
-45,95,16859
156,-12,16774
234,67,16757
55,163,16402
368,-107,17005
223,16,16802
184,-96,16875
100,-124,16661
278,-6,16875
117,-209,16644
295,-17,16509
-51,78,16464
44,95,16492
72,56,16504
-79,213,16549
-173,73,16566
-79,298,16385
-162,275,16436
-140,275,16622
306,-6,17022
-190,174,16504
-45,112,16442
-51,202,16509
-173,208,16802
27,146,16644
83,230,16526
-45,33,16712
128,-17,16988
133,112,16859
128,123,16864
184,-6,16966
306,-96,16864
284,-147,16836
284,-57,16887
189,-40,16909
72,-17,16560
-34,129,16594
150,-96,16735
105,-68,16735
245,-102,16859
11,-34,16566
94,73,16543
66,56,16718
-79,73,16453
61,50,16442
-28,185,16464
-101,22,16487
178,-85,16780
-146,129,16340
-134,421,16464
-95,292,16459
228,-158,16904
-134,309,16380
72,309,16622
-129,163,16690
-12,230,16628
-6,168,16701
-45,219,16706
89,258,16712
61,-57,16982
55,39,16757
167,151,16977
128,-40,16982
145,11,16870
178,112,16954
284,-96,16836
161,-6,16875
-79,315,16475
284,-57,16712
122,-85,16661
195,-57,16554
55,-130,16521
-12,135,16515
0,45,16588
0,56,16419
-123,174,16194
-23,174,16509
-84,202,16391
-79,196,16543
-179,185,16509
-56,292,16661
66,270,16881
22,140,16706
105,28,16797
94,163,16774
172,56,17016
72,16,16825
172,-29,16932
251,-74,16920
122,-152,16994
251,-45,16847
312,-85,16825
306,-68,16768
150,0,16650
234,-107,16802
55,84,16650
72,-51,16543
44,151,16515
105,101,16599
50,129,16718
22,28,16571
72,11,16599
55,101,16718
72,101,16746
-45,140,16667
133,73,16825
128,202,16622
50,67,16785
94,50,16661
22,-6,16605
128,123,16678
55,33,16594
105,61,16611
105,61,16909
16,28,16661
11,45,16616
111,151,16622
223,180,16751
5,95,16633
27,28,16729
172,163,16661
78,84,16735
133,151,16751
50,67,16768
11,101,16706
16,16,16751
117,16,16616
78,-79,16566
50,112,16650
16,33,16706
16,-57,16566
50,11,16701
72,185,16763
61,45,16667
167,39,16706
11,78,16639
-12,-12,16515
22,84,16583
111,180,16836
94,140,16690
145,180,16673
373,-209,16943
100,56,16475
-84,376,16588
-134,247,16408
16,78,16718
184,-62,16718
0,95,16566
-56,225,16447
156,84,16718
167,0,16859
217,-62,16892
267,-124,17073
139,-158,16701
239,-119,16892
195,-113,16751
-112,343,16487
161,-51,16661
-6,-90,16588
-23,219,16521
-40,101,16430
-151,275,16385
-40,309,16549
-84,286,16650
-56,286,16532
105,202,16594
-56,230,16611
83,140,16763
22,39,16830
139,16,16740
278,-17,16954
111,33,16498
111,-102,16690
150,-45,16825
317,-29,16943
100,-113,16549
94,11,16599
-12,45,16537
-40,140,16498
-101,135,16509
-90,230,16605
-106,163,16481
-17,247,16650
-45,253,16560
-45,303,16549
0,247,16628
0,33,16622
11,281,16644
117,-45,16718
89,118,16932
122,5,16943
156,90,16977
251,-164,16954
172,-96,16892
105,-102,16909
306,-96,16768
122,-96,16723
262,-147,16892
39,-74,16751
234,118,16622
195,33,16571
100,22,16526
184,140,16690
407,-107,16982
184,-40,16892
-207,247,16402
27,286,16509
-129,450,16436
-17,253,16470
-45,230,16628
39,123,16774
167,219,16740
184,-45,17005
150,-57,16819
217,-62,16875
200,-102,16999
66,-51,16785
228,-74,16859
89,-90,16678
139,33,16650
61,168,16802
-79,-23,16346
-6,270,16492
-51,219,16532
11,331,16521
33,112,16611
55,185,16515
-90,123,16475
-34,191,16650
150,118,16791
83,33,16797
206,67,16994
295,-45,16966
200,-175,16875
206,-23,16723
50,174,16290
-101,360,16509
-40,180,16526
66,28,16543
-12,-6,16228
61,129,16481
-162,196,16318
-51,253,16363
16,264,16543
-179,236,16397
-51,225,16374
-112,326,16729
-118,286,16498
39,213,16644
-95,61,16819
78,90,16622
89,146,16932
55,16,16515
211,-62,16797
407,-164,16954
145,-124,16819
105,-141,16740
251,-34,16791
262,-74,16763
111,-107,16678
223,-135,16526
66,-96,16780
117,22,16588
139,33,16622
-67,22,16397
-90,185,16526
16,202,16380
5,174,16256
150,67,16864
-218,185,16554
-168,230,16509
-51,315,16487
-28,135,16887
-157,258,16656
-34,264,16695
44,78,16746
72,16,16830
122,-57,16898
189,45,16813
228,-130,16853
223,-17,16909
156,-203,16678
206,-96,16718
200,0,16813
27,-17,16554
-73,129,16583
206,22,16571
256,-6,16729
11,67,16566
-40,78,16509
0,67,16453
-229,247,16475
-28,84,16532
78,-119,16712
-62,225,16532
-112,168,16616
-252,236,16543
-51,213,16673
0,151,16678
55,202,16870
22,50,16492
161,-62,16909
184,28,16892
239,-34,16932
206,-113,16937
139,-113,16881
290,-169,16954
184,-40,16633
27,22,16464
150,-74,16594
178,-12,16554
-112,129,16464
-112,118,16583
-45,286,16425
-151,292,16571
-140,140,16521
301,-124,16701
-173,180,16594
-23,196,16537
72,208,16870
-28,84,16904
362,-74,16920
156,146,16785
239,-124,17005
267,-85,16887
200,-40,16791
329,-74,16926
290,5,16746
161,-51,16785
223,-62,16723
228,45,16661
83,73,16543
89,157,16391
50,157,16616
39,247,16374
-151,129,16397
-90,168,16312
-56,247,16509
-118,213,16447
-123,236,16498
-112,84,16605
39,275,16481
-17,135,16633
27,185,16599
167,202,16774
50,174,16718
206,28,16842
167,-12,16949
